DATE,WORTH,SCORE,SOURCE,TITLE,SUBTITLE,DESCRIPTION,CATEGORY,LANGUAGE,SENTIMENT,IMAGE,VIDEO,AUDIO,Link
2024-03-07,10300,126,8,0,0,3,7,HE,3,0,0,0,https://www.themarker.com/markets/2024-03-07/ty-article/.premium/0000018e-14ec-d2aa-a1be-1ded8ddc0000
2024-03-13,11700,145,7,0,3,4,7,HE,4,0,0,0,https://www.mako.co.il/news-money/2024_q1/Article-a70ca09f4643e81026.htm
2024-03-18,13100,204,8,0,3,3,7,HE,6,0,0,0,https://www.themarker.com/news/politics/2024-03-18/ty-article/.premium/0000018e-4cb2-d7ea-a5de-7cb75a3d0000
2024-04-06,8200,91,0,0,0,0,0,HE,5,0,0,0,https://www.israelhayom.co.il/tech/tech-news/article/15552066
2024-05-01,7200,176,3,0,3,3,2,HE,5,0,0,0,https://www.one.co.il/Article/461681.html
2024-05-21,14300,258,8,1,3,4,7,HE,8,4,0,0,https://www.themarker.com/labels/retail-2022/2024-05-21/ty-article-labels/0000018f-9b2c-d6da-a1cf-fb2eae550000
2024-06-09,5000,50,8,0,3,4,0,HE,-5,1,0,0,https://www.globes.co.il/news/article.aspx?did=1001481025
2024-07-01,16800,275,8,0,4,8,9,HE,8,5,0,5,https://www.calcalist.co.il/local_news/article/hkamxyxwa
2024-07-03,15650,270,8,0,4,5,7,HE,6,4,0,4,
2024-07-09,13700,225,6,0,4,5,5,HE,6,0,0,0,
2024-07-12,13600,220,4,0,4,5,5,HE,6,0,0,0,https://www.mako.co.il/finances-news/Article-bf054f768f69091027.htm
2024-09-03,6150,65,2,0,4,4,3,HE,8,0,0,0,https://www.adifplus.co.il/%D7%A9%D7%9C%D7%95%D7%A9-%D7%9E%D7%9B%D7%9C%D7%9C%D7%95%D7%AA-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%99%D7%A7%D7%99%D7%99%D7%9E%D7%95-%D7%99%D7%A8%D7%99%D7%93-%D7%AA%D7%A2%D7%A1%D7%95%D7%A7/
2024-09-08,10850,151,5,0,4,5,4,HE,6,0,0,0,https://www.bizportal.co.il/general/news/article/833705
2024-09-09,15900,263,8,0,4,8,7,HE,8,0,5,4,https://www.calcalist.co.il/conferences/article/hyw8yxn3r
2024-09-18,10460,127,5,0,3,5,4,HE,5,0,0,0,https://www.ice.co.il/realestate/news/article/1030530
2024-09-19,14200,260,7,0,4,4,5,HE,6,0,4,0,https://www.ynet.co.il/economy/article/hyurfdt6r
2024-09-26,12580,198,5,0,4,4,3,HE,5,0,0,0,https://www.israelhayom.co.il/business/article/16513044
2024-10-06,10550,130,7,0,0,4,5,HE,5,0,0,0,https://www.themarker.com/dynamo/cars/2024-10-06/ty-article/.premium/00000192-41f6-d07b-aff3-57f696c30000
2024-10-27,8500,95,5,0,0,4,3,HE,5,0,0,0,https://www.adifplus.co.il/%D7%9C%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94-%D7%9C%D7%A9%D7%9B%D7%AA-%D7%A1%D7%95%D7%9B%D7%A0%D7%99-%D7%94%D7%91%D7%99%D7%98%D7%95%D7%97-%D7%95%D7%9C%D7%A9%D7%9B%D7%AA-%D7%94%D7%9E%D7%AA%D7%9B%D7%A0/
2024-11-19,13750,240,8,0,4,4,5,HE,5,0,0,0,https://www.globes.co.il/news/article.aspx?did=1001494372
2024-12-01,10000,121,7,4,4,0,7,HE,5,0,0,6,https://www.calcalist.co.il/conferences/article/r1xsbie7jx
2024-12-02,7500,72,3,4,4,8,2,HE,6,5,0,0,https://www.bhol.co.il/news/1679975
2024-12-18,11300,141,7,0,4,4,6,HE,5,0,0,4,https://www.calcalist.co.il/local_news/article/ryfhwhyryl